perfume_id,brand,category,longevity,sillage,best_time_of_day,best_season,price_tier,recommended_event,longevity_score,sillage_score
173,Guerlain,Oriental Vanilla,Medium,Intimate,Both,Winter,Mid-Range,Party/Club,2,1
174,Ysl,Gourmand,Light,Strong,Both,Fall,Luxury,Date Night,1,3
175,Dior,Amber Floral,Light,Moderate,Day,Fall,Luxury,Wedding,1,2
176,Hermes,Amber Floral,Strong,Strong,Day,Fall,Budget,Wedding,3,3
177,Rasasi,Citrus Aromatic,Strong,Moderate,Night,Summer,Luxury,Night Out,3,2
178,Ysl,Oud,Very Strong,Strong,Night,All Season,Luxury,Wedding,4,3
179,Ajmal,Aquatic,Light,Moderate,Both,Winter,Luxury,Night Out,1,2
180,Prada,Aromatic Fougere,Light,Moderate,Both,Spring,Mid-Range,Office,1,2
181,Byredo,Floral Fruity,Medium,Moderate,Both,Winter,Luxury,Date Night,2,2
182,Versace,Leather,Medium,Strong,Day,Summer,Luxury,Night Out,2,3
183,Tom Ford,Amber Floral,Strong,Enormous,Both,Fall,Budget,Wedding,3,4
184,Mancera,Amber Floral,Very Strong,Intimate,Night,All Season,Budget,Wedding,4,1
185,Dior,Gourmand,Light,Moderate,Day,Spring,Budget,Date Night,1,2
186,Prada,Gourmand,Very Strong,Strong,Both,Spring,Budget,Date Night,4,3
187,Prada,Aquatic,Medium,Intimate,Both,Winter,Luxury,Beach/Vacation,2,1
188,Tom Ford,Aromatic Fougere,Medium,Intimate,Both,Fall,Budget,Office,2,1
189,Montblanc,Woody Spicy,Light,Enormous,Day,Fall,Budget,Formal Event,1,4
190,Montblanc,Citrus Aromatic,Medium,Intimate,Night,Summer,Budget,Office,2,1
191,Prada,Floral Fruity,Very Strong,Intimate,Night,Winter,Luxury,Date Night,4,1
192,Lattafa,Fresh Scent,Medium,Enormous,Night,All Season,Luxury,Casual Daywear,2,4
193,Byredo,Oriental Vanilla,Strong,Strong,Both,Spring,Budget,Party/Club,3,3
194,Ysl,Aromatic Fougere,Light,Enormous,Night,Summer,Luxury,Office,1,4
195,Chanel,Amber Floral,Medium,Enormous,Day,Spring,Luxury,Wedding,2,4
196,Ajmal,Fresh Scent,Very Strong,Moderate,Night,Spring,Budget,Casual Daywear,4,2
197,Mancera,Gourmand,Strong,Enormous,Night,All Season,Luxury,Date Night,3,4
198,Montblanc,Citrus Aromatic,Very Strong,Intimate,Day,Winter,Mid-Range,Office,4,1
199,Tom Ford,Amber Floral,Very Strong,Moderate,Day,All Season,Mid-Range,Wedding,4,2
200,Ajmal,Citrus Aromatic,Medium,Strong,Night,Spring,Mid-Range,Office,2,3
201,Creed,Amber Floral,Light,Intimate,Day,Winter,Luxury,Wedding,1,1
202,Byredo,Gourmand,Strong,Moderate,Night,Fall,Luxury,Date Night,3,2
203,Tom Ford,Leather,Medium,Strong,Day,All Season,Mid-Range,Night Out,2,3
204,Montblanc,Oud,Very Strong,Intimate,Day,Fall,Luxury,Wedding,4,1
205,Tom Ford,Aromatic Fougere,Medium,Strong,Both,Spring,Mid-Range,Office,2,3
206,Hermes,Aromatic Fougere,Light,Enormous,Both,Spring,Luxury,Office,1,4
207,Rasasi,Oud,Strong,Enormous,Both,All Season,Mid-Range,Wedding,3,4
208,Tom Ford,Amber Floral,Very Strong,Enormous,Both,Summer,Luxury,Wedding,4,4
209,Versace,Fresh Scent,Medium,Intimate,Night,Fall,Budget,Casual Daywear,2,1
210,Mancera,Citrus Aromatic,Light,Moderate,Day,Winter,Budget,Office,1,2
211,Dior,Aquatic,Light,Intimate,Day,Spring,Mid-Range,Beach/Vacation,1,1
212,Rasasi,Citrus Aromatic,Medium,Intimate,Night,Winter,Mid-Range,Office,2,1
213,Ajmal,Amber Floral,Very Strong,Enormous,Both,Winter,Budget,Wedding,4,4
214,Hermes,Aromatic Fougere,Light,Intimate,Night,Fall,Mid-Range,Office,1,1
215,Ajmal,Leather,Light,Enormous,Night,Winter,Mid-Range,Night Out,1,4
216,Prada,Aromatic Fougere,Strong,Moderate,Day,Winter,Budget,Office,3,2
217,Montblanc,Aromatic Fougere,Strong,Moderate,Both,Summer,Mid-Range,Office,3,2
218,Prada,Fresh Scent,Strong,Enormous,Day,Summer,Budget,Casual Daywear,3,4
219,Armaf,Gourmand,Light,Intimate,Both,Fall,Budget,Date Night,1,1
220,Mancera,Floral Fruity,Light,Intimate,Day,Winter,Budget,Date Night,1,1
221,Byredo,Woody Spicy,Medium,Strong,Night,Summer,Mid-Range,Formal Event,2,3
222,Dior,Fresh Scent,Medium,Intimate,Both,Fall,Budget,Casual Daywear,2,1
223,Tom Ford,Leather,Light,Strong,Night,Fall,Mid-Range,Night Out,1,3
224,Lattafa,Oud,Light,Enormous,Day,Summer,Luxury,Wedding,1,4
225,Chanel,Oud,Very Strong,Moderate,Day,All Season,Budget,Wedding,4,2
226,Creed,Oud,Very Strong,Intimate,Both,Fall,Budget,Wedding,4,1
227,Creed,Fresh Scent,Medium,Strong,Night,Summer,Luxury,Casual Daywear,2,3
228,Chanel,Aquatic,Strong,Enormous,Night,Fall,Mid-Range,Beach/Vacation,3,4
229,Rasasi,Gourmand,Medium,Intimate,Both,All Season,Budget,Date Night,2,1
230,Chanel,Aquatic,Strong,Intimate,Day,Summer,Budget,Beach/Vacation,3,1
231,Byredo,Oud,Medium,Moderate,Day,Spring,Luxury,Wedding,2,2
232,Hermes,Oriental Vanilla,Very Strong,Strong,Both,Fall,Budget,Party/Club,4,3
233,Prada,Amber Floral,Light,Strong,Both,Winter,Luxury,Wedding,1,3
234,Chanel,Oud,Light,Moderate,Both,Summer,Luxury,Wedding,1,2
235,Montblanc,Oud,Very Strong,Strong,Day,Summer,Mid-Range,Wedding,4,3
236,Byredo,Fresh Scent,Light,Enormous,Day,Fall,Luxury,Casual Daywear,1,4
237,Ysl,Oud,Very Strong,Strong,Day,Fall,Mid-Range,Wedding,4,3
238,Armaf,Woody Spicy,Medium,Strong,Night,Winter,Mid-Range,Office,2,3
239,Hermes,Floral Fruity,Very Strong,Enormous,Both,Spring,Mid-Range,Date Night,4,4
240,Dior,Oriental Vanilla,Strong,Strong,Both,Summer,Mid-Range,Party/Club,3,3
241,Ysl,Citrus Aromatic,Medium,Intimate,Night,Summer,Mid-Range,Office,2,1
242,Ysl,Gourmand,Very Strong,Enormous,Night,All Season,Budget,Date Night,4,4
243,Ajmal,Oriental Vanilla,Medium,Intimate,Day,Winter,Luxury,Party/Club,2,1
244,Chanel,Leather,Medium,Intimate,Night,All Season,Luxury,Night Out,2,1
245,Creed,Woody Spicy,Light,Enormous,Night,Summer,Budget,Formal Event,1,4
246,Ajmal,Citrus Aromatic,Strong,Moderate,Day,Winter,Luxury,Office,3,2
247,Ajmal,Woody Spicy,Strong,Intimate,Night,Spring,Budget,Formal Event,3,1
248,Lattafa,Oud,Strong,Moderate,Both,Summer,Mid-Range,Wedding,3,2
249,Hermes,Gourmand,Medium,Strong,Night,Fall,Budget,Date Night,2,3
250,Chanel,Aromatic Fougere,Light,Moderate,Day,Fall,Mid-Range,Office,1,2
251,Mancera,Oriental Vanilla,Strong,Intimate,Both,All Season,Mid-Range,Party/Club,3,1
252,Lattafa,Woody Spicy,Medium,Intimate,Day,Winter,Mid-Range,Formal Event,2,1
253,Armaf,Aromatic Fougere,Strong,Moderate,Day,Winter,Luxury,Office,3,2
254,Chanel,Fresh Scent,Strong,Enormous,Both,Spring,Budget,Casual Daywear,3,4
255,Prada,Floral Fruity,Medium,Strong,Both,Fall,Mid-Range,Date Night,2,3
256,Versace,Amber Floral,Light,Enormous,Night,Fall,Luxury,Wedding,1,4
257,Hermes,Fresh Scent,Strong,Intimate,Day,Winter,Budget,Casual Daywear,3,1
258,Armaf,Leather,Very Strong,Moderate,Both,Winter,Luxury,Night Out,4,2
259,Byredo,Floral Fruity,Light,Intimate,Day,All Season,Mid-Range,Date Night,1,1
260,Prada,Aromatic Fougere,Medium,Strong,Night,Fall,Budget,Office,2,3
261,Hermes,Gourmand,Strong,Intimate,Night,Spring,Luxury,Date Night,3,1
262,Rasasi,Citrus Aromatic,Light,Enormous,Day,Summer,Budget,Office,1,4
263,Guerlain,Oriental Vanilla,Strong,Moderate,Both,Spring,Luxury,Party/Club,3,2
264,Armaf,Gourmand,Very Strong,Moderate,Night,Summer,Mid-Range,Date Night,4,2
265,Prada,Oud,Light,Enormous,Night,Fall,Luxury,Wedding,1,4
266,Armaf,Fresh Scent,Strong,Strong,Night,All Season,Budget,Casual Daywear,3,3
267,Mancera,Aromatic Fougere,Medium,Moderate,Night,All Season,Mid-Range,Office,2,2
268,Lattafa,Citrus Aromatic,Very Strong,Moderate,Both,Summer,Luxury,Office,4,2
269,Chanel,Aromatic Fougere,Light,Intimate,Day,Winter,Luxury,Office,1,1
270,Hermes,Leather,Light,Enormous,Day,Fall,Budget,Night Out,1,4
271,Dior,Citrus Aromatic,Strong,Moderate,Night,Summer,Mid-Range,Office,3,2
272,Rasasi,Gourmand,Strong,Moderate,Day,Spring,Mid-Range,Date Night,3,2
273,Tom Ford,Leather,Very Strong,Strong,Night,Spring,Mid-Range,Night Out,4,3
274,Ajmal,Amber Floral,Very Strong,Moderate,Night,Summer,Mid-Range,Wedding,4,2
275,Lattafa,Leather,Light,Moderate,Day,Winter,Budget,Night Out,1,2
276,Ajmal,Oud,Light,Intimate,Both,All Season,Mid-Range,Wedding,1,1
277,Creed,Amber Floral,Medium,Moderate,Both,All Season,Luxury,Wedding,2,2
278,Byredo,Aquatic,Very Strong,Moderate,Day,All Season,Mid-Range,Beach/Vacation,4,2
279,Montblanc,Gourmand,Strong,Strong,Night,Fall,Budget,Date Night,3,3
280,Montblanc,Gourmand,Medium,Strong,Day,Spring,Budget,Date Night,2,3
281,Versace,Leather,Light,Strong,Day,Winter,Mid-Range,Party/Club,1,3
282,Ajmal,Leather,Strong,Intimate,Both,All Season,Budget,Night Out,3,1
283,Creed,Gourmand,Medium,Intimate,Night,Fall,Budget,Date Night,2,1
284,Armaf,Woody Spicy,Very Strong,Intimate,Day,Winter,Budget,Formal Event,4,1
285,Prada,Fresh Scent,Strong,Intimate,Day,All Season,Luxury,Casual Daywear,3,1
286,Armaf,Aquatic,Very Strong,Enormous,Night,Spring,Budget,Beach/Vacation,4,4
287,Hermes,Aquatic,Strong,Enormous,Day,Summer,Luxury,Beach/Vacation,3,4
288,Lattafa,Floral Fruity,Light,Enormous,Day,Winter,Budget,Date Night,1,4
289,Prada,Leather,Very Strong,Enormous,Night,Summer,Mid-Range,Night Out,4,4
290,Hermes,Leather,Very Strong,Intimate,Both,Spring,Luxury,Night Out,4,1
291,Chanel,Oriental Vanilla,Very Strong,Moderate,Night,Fall,Luxury,Party/Club,4,2
292,Versace,Fresh Scent,Strong,Strong,Night,Spring,Budget,Casual Daywear,3,3
293,Tom Ford,Fresh Scent,Medium,Intimate,Day,Winter,Mid-Range,Casual Daywear,2,1
294,Mancera,Citrus Aromatic,Medium,Strong,Day,Summer,Budget,Office,2,3
295,Rasasi,Oud,Light,Enormous,Both,Winter,Budget,Wedding,1,4
296,Ajmal,Floral Fruity,Medium,Intimate,Day,Winter,Luxury,Date Night,2,1
297,Chanel,Leather,Strong,Strong,Night,Winter,Mid-Range,Night Out,3,3
298,Tom Ford,Leather,Strong,Moderate,Both,All Season,Budget,Night Out,3,2
299,Tom Ford,Leather,Light,Strong,Day,Spring,Mid-Range,Night Out,1,3
300,Chanel,Amber Floral,Medium,Enormous,Day,Summer,Mid-Range,Wedding,2,4
301,Dior,Fresh Scent,Medium,Enormous,Night,Fall,Budget,Casual Daywear,2,4
302,Prada,Aquatic,Medium,Moderate,Day,Summer,Budget,Beach/Vacation,2,2
303,Montblanc,Leather,Very Strong,Intimate,Both,Fall,Luxury,Night Out,4,1
304,Chanel,Oriental Vanilla,Light,Enormous,Day,Summer,Mid-Range,Party/Club,1,4
305,Lattafa,Floral Fruity,Strong,Intimate,Both,Fall,Mid-Range,Date Night,3,1
306,Mancera,Leather,Strong,Moderate,Night,Summer,Mid-Range,Night Out,3,2
